timestamp,serial,frame,lat,lon,alt,vel_v,vel_h,heading,temp,humidity,pressure,type,freq_mhz,snr,f_error_hz,sats,batt_v,burst_timer,aux_data
2024-03-23T19:01:25.960Z,L3044096,43,29.64309,-82.34852,113.3,-0.6,1.2,6.2,-273,-1,-1,RS92-SGP,403,20.2,375,-1,-1,-1,-1
2024-03-23T19:01:31.960Z,L3044096,49,29.64304,-82.34846,113.2,0.7,0.4,186.9,-273,-1,-1,RS92-SGP,403,20.7,375,-1,-1,-1,-1
2024-03-23T19:01:46.960Z,L3044096,64,29.64363,-82.34838,78.4,0.6,0.5,189.4,-273,-1,-1,RS92-SGP,403,22,2062,-1,-1,-1,-1
2024-03-23T19:01:47.960Z,L3044096,65,29.64364,-82.34839,79.1,-0.5,0.5,356.6,-273,-1,-1,RS92-SGP,403,22.1,375,-1,-1,-1,-1
2024-03-23T19:01:55.960Z,L3044096,73,29.64365,-82.34839,81.5,0.1,0.7,198.5,-273,-1,-1,RS92-SGP,403,22.1,375,-1,-1,-1,-1
2024-03-23T19:01:59.960Z,L3044096,77,29.64357,-82.3484,84.6,0.1,0.1,282.4,-273,-1,-1,RS92-SGP,403,22.8,375,-1,-1,-1,-1
2024-03-23T19:02:00.960Z,L3044096,78,29.64362,-82.34839,81.1,0.4,0.6,215.3,-273,-1,-1,RS92-SGP,403,22.7,375,-1,-1,-1,-1
2024-03-23T19:02:01.960Z,L3044096,79,29.64361,-82.34839,81.9,-0.2,0.5,26.6,-273,-1,-1,RS92-SGP,403,22.7,375,-1,-1,-1,-1
2024-03-23T19:02:08.960Z,L3044096,86,29.64358,-82.34835,81.2,0.5,1.3,204.3,-273,-1,-1,RS92-SGP,403,22.7,375,-1,-1,-1,-1
2024-03-23T19:02:19.960Z,L3044096,97,29.64372,-82.34834,71.9,0.1,0.7,199.5,-273,-1,-1,RS92-SGP,403,22.5,375,-1,-1,-1,-1
2024-03-23T19:02:22.960Z,L3044096,100,29.64374,-82.34834,74.3,0.1,0.6,9.3,-273,-1,-1,RS92-SGP,403,22.8,375,-1,-1,-1,-1
2024-03-23T19:02:25.960Z,L3044096,103,29.64367,-82.34839,75.3,0.1,0.7,199.6,-273,-1,-1,RS92-SGP,403,22.4,375,-1,-1,-1,-1
2024-03-23T19:02:26.960Z,L3044096,104,29.64356,-82.3484,78.7,0,0.7,9.1,-273,-1,-1,RS92-SGP,403,22.6,375,-1,-1,-1,-1
2024-03-23T19:02:27.960Z,L3044096,105,29.6435,-82.34843,82.9,-0.5,1.1,5.1,-273,-1,-1,RS92-SGP,403,22.6,375,-1,-1,-1,-1
2024-03-23T19:02:29.960Z,L3044096,107,29.64348,-82.34846,84,0.1,0.7,8,-273,-1,-1,RS92-SGP,403,22.9,375,-1,-1,-1,-1
2024-03-23T19:02:31.960Z,L3044096,109,29.64347,-82.34846,82.6,0.1,0.6,8.4,-273,-1,-1,RS92-SGP,403,23.3,375,-1,-1,-1,-1
2024-03-23T19:02:32.960Z,L3044096,110,29.64343,-82.34848,84.8,0.1,0.1,327.3,-273,-1,-1,RS92-SGP,403,23.3,375,-1,-1,-1,-1
2024-03-23T19:02:33.960Z,L3044096,111,29.64347,-82.34847,83.1,-0.5,1.1,4.9,-273,-1,-1,RS92-SGP,403,23.2,375,-1,-1,-1,-1
