LEVEL,HGHT,TEMP,DWPT,WDIR,WSPD
1014.5,10.4,24.1,15.24,195.9,0.39
1014.6,10.4,24.1,15.24,163.9,0.19
1014.6,10.4,24.1,15.24,148.5,0.39
1014.6,10.1,23.9,14.89,135.1,2.14
1014.6,9.4,23.7,14.76,102.8,10.3
1014.5,9.0,23.2,14.85,95.2,13.22
1014.5,9.8,23.4,14.8,99.5,18.27
1014.0,13.4,23.7,14.92,92.4,13.22
1013.8,17.0,23.8,15.02,68.1,11.47
1013.3,22.0,23.8,15.07,67.3,12.83
1012.5,26.1,23.7,14.98,48.5,13.02
1012.1,31.0,23.7,15.08,60.9,9.72
1011.5,36.8,23.6,15.04,350.1,5.64
1010.6,43.1,23.6,15.09,5.6,7.0
1010.1,48.1,23.6,15.04,1.9,10.11
1009.5,53.3,23.5,15.08,10.0,16.13
1008.9,58.7,23.5,15.11,16.6,17.49
1008.3,64.6,23.4,15.04,27.5,18.86
1007.8,70.3,23.4,15.06,51.3,14.77
1007.2,74.9,23.3,15.05,62.8,15.36
1006.7,80.0,23.3,15.1,65.6,17.88
1005.9,86.0,23.2,15.03,62.9,22.74
1005.1,92.1,23.2,15.03,61.3,21.97
1004.5,98.2,23.1,15.04,42.5,18.86
1003.8,103.9,23.1,15.12,35.3,17.3
1003.1,109.7,23.0,15.05,24.3,14.19
1002.4,115.7,23.0,15.1,31.1,9.52
1001.8,121.0,22.8,15.29,50.0,14.77
1001.4,125.5,22.7,15.42,65.2,17.88
1001.0,130.0,22.7,15.37,61.0,22.94
1000.2,135.1,22.6,15.42,47.7,19.83
999.5,141.4,22.6,15.47,49.1,18.08
998.8,148.6,22.5,15.38,61.5,21.58
998.0,155.0,22.4,15.35,66.4,19.83
997.6,160.2,22.4,15.43,79.0,15.75
997.2,164.4,22.4,15.43,78.6,16.33
996.6,168.7,22.3,15.36,76.7,19.24
996.2,173.3,22.3,15.36,75.6,17.49
995.7,177.4,22.3,15.38,53.1,15.55
995.2,182.0,22.2,15.31,46.9,21.77
994.6,186.4,22.2,15.31,51.4,24.88
994.1,191.2,22.1,15.29,70.0,22.94
993.6,195.8,22.1,15.26,87.6,19.24
992.9,200.4,22.0,15.24,82.3,13.02
992.3,205.4,22.0,15.29,57.7,17.11
991.8,212.1,22.0,15.31,71.3,17.88
